tweetid,status,created_at,userid,nickname,status_count,verified,verified_type,verified_reason,gender,rank,repost_count,follower_count,follow_count,like_count,comment_count
3884520161427433,#天津身边事# 天津港“8.12”爆炸事故，成为法学院案例。8月27日下午，中国人民大学法学院举行“天津港8.12爆炸事故法律问题研讨会”，与会专家从宪法行政法、刑法、民法、诉讼法、环境法等学科角度对事故涉及的法律问题进行了分析研讨并提出相关建议。 ​,Mon Sep 07 19:27:20 +0800 2015,3884520161427433,记者-薛洪涛,59841,0,59841,微博区域媒体人（天津） 法治周末记者薛洪涛 微博签约自媒体,m,37,1,172658,3098,1,0
3921532286352668,#天津塘沽大爆炸#爆炸虽然已经过去一百二十九天，带是这团火焰却在很多人心里继续燃烧着，久久不能散去。这团火现在还在摧毁着曾经拥有的一切，比如那曾经弥足珍贵的友谊，我们最最羡慕的坚不可摧的情谊。以前只认为一场爆炸会夺去多少人的生命、会带来多少灾难和悲痛，却从未想过，还可以将人心磨灭。 ​,Fri Dec 18 22:40:18 +0800 2015,3921532286352668,祁厅长哭坟视频免费下载,11856,220,11856,,m,33,0,2144,2090,0,0
4007798196412719,一年了。果然，随着一个新闻的诞生，之前的旧闻很快就会被覆盖。9.3阅兵仪式的举行就这样将8.12塘沽大爆炸给掩盖了。新闻、记者、舆论，才是最可怕的。我就是一个小小公民 ​,Fri Aug 12 23:50:14 +0800 2016,4007798196412719,小樱贼犯花痴,150,220,150,,f,21,0,435,296,4,3
3880452462729550,#天津塘沽大爆炸#听专车的司机说开发区没有活，塘沽的活也少了，他平常都去市里拉活了。唉…… ​,Thu Aug 27 14:03:45 +0800 2015,3880452462729550,萝卜青菜各有所爱的茄子,292,-1,292,,f,13,0,131,363,1,0
4007721584104107,还记得去年的今天，爆炸袭击了塘沽，那时候我还在塘沽开发区的幼儿园上班，不过唯一欣慰的，是我们幼儿园老师们一条心，真的像一家人一样进行着灾后重建工作。现如今，内心仍旧是跌宕起伏的！不过更多的，是祝愿。愿塘沽---曾经我的家，在未来的日子里，越来越好。😊 ​,Fri Aug 12 18:45:48 +0800 2016,4007721584104107,太阳当空亮,1159,-1,1159,,f,20,0,316,304,0,0
3875379637040113,意外和明天不知道哪个会先来，我们永远都不知道，每一天是不是自己的最后一天。好好珍惜每分每秒，珍惜当下，珍惜身边爱你和你爱着的人！#塘沽爆炸# ​,Thu Aug 13 14:06:09 +0800 2015,3875379637040113,派大星我们去吹泡泡吧丶,806,220,806,,f,28,3,1875,370,1,3
3875342043516318,#塘沽大爆炸# 地震是天灾，爆炸却是人祸！什么东西爆炸了？官方到现在都没有给出一个说法！在不明确爆炸物的情况下，谁让那么多消防官兵进去的，为什么直到现在才决定暂缓扑灭？！消防官兵的命谁来赔？！敢不敢把现场的真实情况、真实伤亡人数报道出来？！ ​,Thu Aug 13 11:36:46 +0800 2015,3875342043516318,钱都花吃上了能不胖吗,1643,200,1643,,f,31,1,226,186,10,3
3877606874843899,#天津塘沽大爆炸#part1 8.12晚上很闷出来找朋友喝东西，我一直都没想通我们为何吵架，与朋友诉苦，哭了很久。雪说，我们多待会十一点回家？我说不了，十点半就走吧。回到娘家是十一点。家里的泰迪妞在门口像往常一样不停的往我身上扑，我烦乱的把她扔在狗窝就回了房间，它也跟着进来躺在床边.......续 ​,Wed Aug 19 17:36:24 +0800 2015,3877606874843899,梦断2015812,9,-1,9,,f,4,0,1,0,0,0
3889428256705096,【天津港“8.12”事故牺牲烈士张广扬在汉滨区烈士陵园安葬】在天津港“8.12”特大火灾爆炸事故现场灭火救援过程中，张广扬同志不顾个人安危，冲向火场，和战友们一起全力扑救大火，在火灾爆炸现场英勇牺牲，年仅24岁，被天津市人民政府评定为烈士。网页链接 ​,Mon Sep 21 08:30:20 +0800 2015,3889428256705096,安康宣传,3892,1,3892,中共安康市委宣传部官方微博,m,24,1,110942,164,2,6
3875479716756723,键盘侠 毁誉参半的称呼 可我们能做到的大多是口头的发泄 说真的 今天一天 看到大家 有对明星八卦占据热搜的羞愤寒心 有对生命开玩笑的唾弃 有迅速普及自救知识的热心 有对消防战士的心疼祈祷 这种让我觉得大多时候被社会舆论牵制再强烈的我们 也会辩一辩是非曲直 发自内心敬畏着生命 #塘沽爆炸# ​,Thu Aug 13 20:43:50 +0800 2015,3875479716756723,畿乎,361,-1,361,,f,14,0,49,98,0,0
